time(sec), throughput(txs), avg_latency(MicroSecond), min(MicroSecond), max(MicroSecond), 25th_lat(MicroSecond), median_lat(MicroSecond), 75th_lat(MicroSecond)
410,4,85238,942,2646,1074,1081,2646
415,4,86288,876,1842,1113,1298,1842
420,3,116350,1251,2644,1773,1773,1773
425,3,117799,1829,2209,2139,2139,2139
430,6,59682,747,1284,842,935,1212
435,5,72491,743,1841,1038,1038,1841
440,6,61157,785,1142,841,867,1087
445,3,123818,1360,2998,1509,1509,1509
450,5,75202,742,1888,1257,1257,1888
455,5,76098,733,1634,1026,1026,1634
460,3,128120,1235,2555,1315,1315,1315
465,5,77711,767,1731,987,987,1731
470,3,130900,1052,2246,1896,1896,1896
475,3,131971,1278,4739,1936,1936,1936
480,3,133268,1348,2542,2495,2495,2495
485,4,100994,1159,1720,1295,1438,1720
490,6,68141,739,1170,768,915,1128
495,5,82594,818,1776,1121,1121,1776
500,4,104285,1012,1928,1016,1120,1928
505,4,105281,773,2143,1068,1480,2143
510,5,85168,893,1652,1088,1088,1652
515,3,143462,1496,3048,1780,1780,1780
520,5,86913,789,1814,1094,1094,1814
525,4,109741,820,2268,830,1066,2268
530,3,147522,828,1973,1628,1628,1628
535,2,223202,1494,3836,3836,2665,3836
540,5,90225,834,2618,1245,1245,2618
545,4,113650,1017,1277,1040,1097,1277
550,5,91809,776,1681,1175,1175,1681
555,4,115811,953,2028,1218,1351,2028
560,3,155851,1525,2422,1886,1886,1886
565,5,94174,726,1181,766,766,1181
570,4,118583,897,2375,1131,1283,2375
575,5,95805,787,3110,1057,1057,3110
580,6,80645,723,1890,743,750,1113
585,6,81344,726,1120,769,791,830
590,3,163887,1772,2521,1824,1824,1824
595,4,123919,966,2766,1337,1525,2766
600,5,99815,745,1174,819,819,1174
605,6,83943,743,1753,844,960,1147
610,6,84666,736,1295,776,784,834
615,3,170741,1424,2802,1523,1523,1523
620,5,103370,919,1780,1256,1256,1780
625,5,104100,744,1120,1027,1027,1120
630,2,262287,1436,4070,4070,2753,4070
635,6,88252,741,1706,1007,1084,1258
640,5,106709,713,1738,1147,1147,1738
645,3,179243,1431,2534,1650,1650,1650
650,3,180503,1633,2138,1642,1642,1642
655,4,136475,772,2289,1333,1371,2289
660,6,91740,726,1172,771,802,1040
665,6,92544,710,1926,728,732,1098
670,5,111824,714,1080,988,988,1080
675,3,187758,1391,2557,1598,1598,1598
680,5,113548,709,1914,780,780,1914
685,6,95425,726,1240,818,831,1182
690,2,287891,1431,3230,3230,2330,3230
695,5,116002,799,2238,1153,1153,2238
700,4,145930,1055,1677,1250,1329,1677
705,4,147030,1347,2121,1386,1525,2121
710,3,197342,1733,2965,2173,2173,2173
715,6,99399,722,5935,753,905,1104
720,5,120059,773,1217,1071,1071,1217
725,4,151251,1219,2188,1330,1744,2188
730,4,152206,769,1824,1351,1525,1824
735,5,122623,941,1804,1156,1156,1804
740,3,205823,1434,2922,1899,1899,1899
745,6,103687,691,1701,740,772,1215
750,6,104473,689,1204,818,863,1055
755,2,314611,1830,2381,2381,2105,2381
760,3,211193,1970,2871,2386,2386,2386
765,4,159282,1077,2406,1190,1237,2406
770,6,106932,750,1628,774,781,1389
775,6,107739,744,1395,833,955,1089
780,4,162465,812,1543,1070,1211,1543
785,4,163630,986,1949,1725,1772,1949
790,6,109829,777,1082,806,807,988
795,4,165835,1158,1947,1262,1263,1947
800,4,166935,742,2699,1217,1829,2699
805,5,134338,829,1134,873,873,1134
810,3,225047,943,2509,1091,1091,1091
815,3,226483,2151,2930,2155,2155,2155
820,4,170977,940,2114,1406,1572,2114
825,6,114796,771,2068,1051,1076,1160
830,5,138524,836,1135,991,991,1135
835,4,174303,1033,2338,1133,1175,2338
840,3,233880,1559,2264,2165,2165,2165
845,5,141295,724,2284,849,849,2284
850,5,142229,758,1972,1045,1045,1972
855,3,238536,1436,3024,2296,2296,2296
860,5,143958,732,1654,786,786,1654
865,6,120728,737,1134,771,812,1100
870,3,242589,1454,1821,1576,1576,1576
875,3,244109,1473,3087,2256,2256,2256
880,6,122797,782,1489,820,893,1082
885,5,148341,1060,1604,1074,1074,1604
890,5,149246,809,1309,1186,1186,1309
895,3,249801,756,1778,1396,1396,1396
900,4,188514,1232,2069,1350,1707,2069
905,4,189576,882,2447,919,1401,2447
910,3,254032,1007,2416,1377,1377,1377
915,6,127805,739,1620,781,804,1489
920,5,154216,739,1386,987,987,1386
925,4,193639,818,1767,849,870,1767
930,2,389010,2253,3461,3461,2857,3461
935,3,260768,1751,2828,2535,2535,2535
940,6,131136,753,1141,768,818,1090
945,4,197786,769,2323,897,1001,2323
950,5,159061,722,1512,1054,1054,1512
955,4,199644,866,1458,890,917,1458
960,4,200812,842,2912,920,1459,2912
965,5,161458,747,1334,850,850,1334
970,3,270039,1148,1500,1328,1328,1328
975,4,203646,691,2921,854,1858,2921
980,5,163724,822,1092,1066,1066,1092
985,4,205847,1135,1851,1137,1459,1851
990,3,275799,1821,2186,2139,2139,2139
995,4,207958,1078,2071,1288,1578,2071
1000,5,167245,736,1757,1067,1067,1757
1005,6,140164,733,1146,1032,1053,1093
1010,5,168983,766,1362,1046,1046,1362
1015,3,283151,1048,3154,1384,1384,1384
1020,5,170765,708,1635,1194,1194,1635
1025,4,214293,849,1278,1204,1212,1278
1030,2,430544,2084,3913,3913,2998,3913
1035,5,173096,1031,1773,1105,1105,1773
1040,4,217562,1059,2200,1093,1283,2200
1045,3,291117,1281,2137,1823,1823,1823
1050,3,292309,1742,1864,1834,1834,1834
1055,4,220196,793,1961,1103,1296,1961
1060,7,126501,724,1156,747,770,838
1065,6,148384,721,1158,804,919,1090
1070,5,178953,935,2124,1179,1179,2124
1075,4,224802,1130,2137,1415,1656,2137
1080,5,180692,924,1918,1108,1108,1918
1085,2,452605,1128,1749,1749,1438,1749
1090,5,181913,839,4330,1127,1127,4330
1095,5,182782,777,1425,1064,1064,1425
1100,4,229677,1072,2627,1100,1454,2627
1105,3,307755,2138,2418,2164,2164,2164
1110,4,231912,879,2505,997,1346,2505
1115,6,155326,728,1132,810,853,1090
1120,5,187303,726,1867,1073,1073,1867
1125,5,188071,736,1257,926,926,1257
1130,3,314834,1250,2159,1986,1986,1986
1135,6,158177,711,1389,778,842,920
1140,4,238327,945,1807,948,1218,1807
1145,4,239401,797,2960,1205,1750,2960
1150,6,160385,720,1060,809,923,1051
1155,5,193374,907,1730,1139,1139,1730
1160,2,485133,2484,3393,3393,2938,3393
1165,3,324843,1748,2516,2325,2325,2325
1170,7,139871,719,1022,734,775,802
1175,6,163883,705,1226,715,725,818
1180,5,197577,827,1661,1074,1074,1661
1185,3,330711,1288,2458,1787,1787,1787
1190,5,199341,783,1605,1278,1278,1605
1195,6,166940,741,1381,817,854,1122
1200,3,335302,1283,2438,1829,1829,1829
1205,5,202045,1027,2926,1109,1109,2926
1210,4,253535,752,1819,1006,1048,1819
1215,3,339251,1316,2298,1783,1783,1783
1220,3,340458,1342,2354,2279,2279,2279
1225,4,256321,798,3534,1341,1556,3534
1230,6,171631,800,1218,867,912,1071
1235,6,172316,728,1090,753,771,1061
1240,4,259090,765,2188,830,849,2188
1245,4,260300,747,2871,1221,1995,2871
1250,4,261323,1004,1781,1011,1157,1781
1255,3,350020,1344,3422,1482,1482,1482
1260,6,175691,694,1296,767,776,1099
1265,6,176506,685,1542,827,1045,1309
1270,3,354205,805,2205,1370,1370,1370
1275,3,355502,1365,2528,1752,1752,1752
1280,4,267577,899,1895,1413,1450,1895
1285,5,214928,1043,1193,1071,1071,1193
1290,5,215790,749,1726,768,768,1726
1295,6,180615,721,1247,908,973,1078
1300,3,362436,865,1861,1759,1759,1759
1305,5,218306,804,2430,1182,1182,2430
1310,6,182658,750,1018,776,833,974
1315,2,549222,1389,2491,2491,1940,2491
1320,6,183763,693,3253,738,774,1176
1325,5,221424,780,1415,1083,1083,1415
1330,3,370522,743,3287,1156,1156,1156
1335,3,371995,1469,2949,1513,1513,1513
1340,5,224072,861,1716,1031,1031,1716
1345,5,224818,731,1200,773,773,1200
1350,5,225687,721,1636,1077,1077,1636
1355,6,188834,727,1369,751,762,948
1360,3,379301,725,2748,2151,2151,2151
1365,6,190457,773,1394,873,1022,1219
1370,4,286349,788,1182,842,932,1182
1375,2,574160,2925,3486,3486,3205,3486
1380,6,192197,772,2119,999,1046,1114
1385,5,231576,755,1696,1061,1061,1696
1390,3,387228,1405,2459,2398,2398,2398
1395,4,291406,1146,2636,1379,1398,2636
1400,6,195009,746,1867,861,885,1108
1405,5,234917,1020,1428,1174,1174,1428
1410,4,294750,949,2489,976,1062,2489
1415,3,394343,1226,2662,1364,1364,1364
1420,6,197929,749,1929,810,953,1117
1425,4,297872,710,1804,1397,1597,1804
1430,3,398410,1780,2786,1962,1962,1962
1435,6,199907,715,1792,742,853,1060
1440,4,300760,1087,1290,1116,1167,1290
1445,3,402070,1537,2732,1633,1633,1633
1450,3,403305,1808,2709,1897,1897,1897
1455,6,202369,745,1291,812,874,1032
1460,6,203160,730,1784,748,748,1058
1465,6,203932,748,1110,917,999,1107
1470,3,409460,1452,2634,2149,2149,2149
1475,5,246521,768,1421,1158,1158,1421
1480,5,247413,794,1781,1075,1075,1781
1485,2,619567,1215,2068,2068,1641,2068
1490,5,248720,757,2901,1111,1111,2901
1495,5,249611,727,1863,1099,1099,1863
1500,3,417231,1104,2402,1233,1233,1233
1505,2,627014,1657,2335,2335,1996,2335
1510,4,314672,1173,2905,1528,1744,2905
1515,4,315576,1079,2126,1255,1268,2126
1520,5,253451,883,1673,1240,1240,1673
1525,5,254223,740,1360,765,765,1360
1530,4,319010,1195,2253,1200,1335,2253
1535,5,256042,800,2449,1073,1073,2449
1540,4,320996,850,1962,965,1127,1962
1545,2,643586,1447,3185,3185,2316,3185
1550,5,258369,809,1963,1113,1113,1963
1555,5,259322,751,1747,1063,1063,1747
1560,3,433298,1453,1828,1479,1479,1479
1565,2,651377,2015,2859,2859,2437,2859
1570,6,217937,726,2084,831,905,1573
1575,5,262502,765,1952,1057,1057,1952
1580,6,219484,734,1224,820,843,1060
1585,6,220237,772,1066,882,889,897
1590,2,661870,1297,2318,2318,1807,2318
1595,5,265614,809,2565,1107,1107,2565
1600,5,266544,886,1599,1083,1083,1599
1605,5,267493,801,2178,1235,1235,2178
1610,6,223663,790,1782,822,935,1051
1615,4,336697,790,2655,1041,1077,2655
1620,2,674729,2669,3632,3632,3150,3632
1625,4,338341,1220,2351,1325,1343,2351
1630,4,339422,726,2383,1100,1158,2383
1635,6,226995,736,1029,778,793,996
1640,5,273170,790,1168,864,864,1168
1645,3,456523,1200,2518,2517,2517,2517
1650,5,274708,804,1713,1126,1126,1713
1655,4,344366,1117,1655,1152,1178,1655
1660,3,460670,1777,2767,2221,2221,2221
1665,5,277113,721,1335,1043,1043,1335
1670,6,231702,719,1721,849,997,1194
1675,4,348781,1374,2158,1378,1452,2158
1680,4,349981,1449,2093,1473,1674,2093
1685,7,200691,735,2176,762,772,832
1690,6,234863,774,1106,804,832,1100
1695,5,282770,764,1822,1055,1055,1822
1700,3,472024,725,1149,1072,1072,1072
1705,4,355175,736,3124,769,1812,3124
1710,5,284892,761,1257,812,812,1257
1715,3,476016,1207,2378,1336,1336,1336
1720,4,358156,1197,2354,1691,1691,2354
1725,5,287368,761,1294,1083,1083,1294
1730,5,288174,759,1642,774,774,1642
1735,2,722266,2191,3661,3661,2926,3661
1740,4,362176,1144,2559,1411,1514,2559
1745,5,290617,878,1652,1177,1177,1652
1750,6,242917,722,1088,810,910,1038
1755,4,365390,846,1900,922,1115,1900
1760,3,488587,1283,2133,2067,2067,2067
1765,5,294119,793,1868,1137,1137,1868
1770,5,295018,749,1967,809,809,1967
1775,3,492863,1579,2438,1919,1919,1919
1780,5,296634,750,1712,1069,1069,1712
1785,5,297421,728,1419,893,893,1419
1790,2,744813,1846,2522,2522,2184,2522
1795,3,498150,1686,3137,3029,3029,3029
1800,4,374652,1161,1710,1290,1457,1710
1805,6,250573,770,1268,838,930,1121
1810,5,301619,759,1726,1066,1066,1726
1815,5,302391,744,1413,918,918,1413
1820,5,303370,856,2418,1097,1097,2418
1825,5,304057,690,1184,834,834,1184
1830,3,508077,1447,2498,1709,1709,1709
1835,6,254856,728,2044,1003,1045,1286
1840,5,306589,738,1096,847,847,1096
1845,4,384360,706,2352,1436,1527,2352
1850,3,513692,1273,2360,1312,1312,1312
1855,4,386351,1123,2452,1581,1603,2452
1860,5,309950,815,1700,924,924,1700
1865,6,259075,719,1408,775,905,1059
1870,5,311698,721,1643,745,745,1643
1875,3,520292,721,1663,1003,1003,1003
1880,5,313092,728,2710,1313,1313,2710
1885,4,392333,901,1837,1076,1105,1837
1890,3,524586,1658,2369,2056,2056,2056
1895,5,315511,784,2511,900,900,2511
1900,6,263714,719,1686,800,951,1333
1905,3,528670,1140,2152,1574,1574,1574
1910,2,794305,1845,2601,2601,2223,2601
1915,4,398133,835,2217,913,1543,2217
1920,6,266143,754,1045,888,890,1036
1925,6,266837,694,1167,846,852,990
1930,5,321113,762,1871,841,841,1871
1935,4,402208,727,1628,750,830,1628
1940,5,322663,765,2350,1148,1148,2350
1945,4,404266,831,1652,1327,1457,1652
1950,3,540520,1302,2316,2180,2180,2180
1955,6,270975,790,1232,805,823,1067
1960,5,326106,742,1672,975,975,1672
1965,3,544585,802,1969,1257,1257,1257
1970,3,545910,1379,2594,2427,2427,2427
1975,4,410415,1061,1874,1418,1435,1874
1980,3,548762,1059,2908,1716,1716,1716
1985,6,275156,726,1237,814,849,1100
1990,6,275952,769,1261,800,813,1132
1995,2,829302,1138,2891,2891,2014,2891
2000,6,277202,730,2602,929,1006,1106
2005,4,416481,791,1351,799,959,1351
2010,3,556842,1905,2698,2694,2694,2694
2015,5,335054,1060,1444,1177,1177,1444
2020,5,336044,780,1823,1126,1126,1823
2025,3,561386,1353,2528,1409,1409,1409
2030,3,562616,1546,2900,2145,2145,2145
2035,5,338539,770,1898,1102,1102,1898
2040,5,339482,712,1923,1044,1044,1923
2045,6,283717,780,1108,843,956,1083
2050,6,284376,714,1022,741,745,788
2055,3,570310,1913,2554,2120,2120,2120
2060,6,285901,790,1171,834,873,1122
2065,3,572984,1486,2061,1811,1811,1811
2070,4,430888,787,2557,1256,1691,2557
2075,5,345574,721,1551,995,995,1551
2080,4,433103,777,2074,1062,1233,2074
2085,2,867962,3512,3688,3688,3600,3688
2090,5,348005,848,1897,1097,1097,1897
2095,4,436002,797,2056,1131,1132,2056
2100,6,291466,712,1292,858,954,1086
2105,4,438163,791,2191,874,1021,2191
2110,3,585362,1146,2133,1301,1301,1301
2115,6,293457,734,1472,784,971,1249
2120,4,441242,948,1659,1112,1363,1659
2125,3,589550,1570,2114,2011,2011,2011
2130,6,295503,736,1413,794,911,1069
2135,5,355492,722,1848,1056,1056,1848
2140,3,593784,1122,2713,1176,1176,1176
2145,2,891305,1259,2052,2052,1655,2052
2150,4,446698,1137,4421,1191,1522,4421
2155,5,358166,789,1153,1023,1023,1153
2160,7,256534,727,1681,743,795,817
2165,6,300093,732,1272,803,857,1062
2170,4,451353,940,2081,1548,1690,2081
2175,5,361882,823,1958,1124,1124,1958
2180,2,906217,1304,3020,3020,2162,3020
2185,4,454204,1075,2501,1590,1655,2501
2190,6,303570,744,1095,853,890,983
2195,5,365134,763,1227,1087,1087,1227
2200,3,609934,2053,3073,2077,2077,2077
2205,5,366937,782,2077,1085,1085,2077
2210,6,306567,757,1137,861,944,1036
2215,5,368720,741,1640,754,754,1640
2220,6,308009,735,1309,821,841,1263
2225,3,616817,820,1471,927,927,927
2230,5,370960,770,3711,865,865,3711
2235,5,371805,808,1296,943,943,1296
2240,3,621049,1767,2354,2164,2164,2164
2245,5,373583,734,1982,1027,1027,1982
2250,5,374324,753,1336,854,854,1336
2255,3,625200,1789,1995,1986,1986,1986
2260,2,940074,1433,4547,4547,2990,4547
2265,5,376867,777,1538,1138,1138,1538
2270,5,377816,883,2026,919,919,2026
2275,5,378709,915,1350,1069,1069,1350
2280,4,474147,950,1132,961,970,1132
2285,4,475331,840,2460,1876,1947,2460
2290,5,381124,838,1484,1116,1116,1484
2295,4,477392,986,1487,1145,1230,1487
2300,4,478550,875,2956,1780,1878,2956
2305,6,319845,748,1426,836,932,1089
2310,4,480736,730,2257,769,809,2257
2315,2,963429,1934,3912,3912,2923,3912
2320,5,386332,859,2514,1126,1126,2514
2325,4,483987,1088,1901,1109,1203,1901
2330,6,323440,722,1210,779,787,1208
2335,4,486204,1120,1853,1145,1160,1853
2340,3,649654,1663,2480,1723,1723,1723
2345,5,390499,768,989,855,855,989
2350,4,488936,731,2026,1158,1258,2026
2355,3,653423,1875,2650,2007,2007,2007
2360,5,392889,727,1656,1027,1027,1656
2365,6,328192,718,1313,807,926,1084
2370,3,657965,733,3402,1339,1339,1339
2375,3,659536,1589,3110,1605,1605,1605
2380,4,495661,891,1795,1348,1428,1795
2385,5,397414,727,1924,1043,1043,1924
2390,5,398201,738,1183,804,804,1183
2395,6,332511,703,1102,753,805,1021
2400,3,666442,1547,2456,1802,1802,1802
2405,6,334027,774,1107,888,956,1042
2410,5,401699,822,1190,1099,1099,1190
2415,4,503347,1306,4550,1306,1791,4550
2420,4,504313,804,1954,853,956,1954
2425,4,505145,1064,1142,1089,1104,1142
2430,3,674519,1372,2090,1605,1605,1605
2435,4,507067,1034,4862,1537,1838,4862
2440,5,406503,781,2099,1086,1086,2099
2445,5,407410,703,1732,811,811,1732
2450,5,408249,758,1241,1001,1001,1241
2455,3,682041,783,3502,1376,1376,1376
2460,5,410160,1012,1340,1201,1201,1340
2465,2,1026086,1370,2778,2778,2074,2778
2470,5,411413,777,3806,1246,1246,3806
2475,5,412205,768,1156,945,945,1156
2480,5,412992,701,2447,949,949,2447
2485,3,689370,1258,2488,1891,1891,1891
2490,5,414574,737,2796,940,940,2796
2495,5,415458,760,2048,835,835,2048
2500,5,416279,871,1137,973,973,1137
2505,4,521237,1096,1293,1107,1128,1293
2510,3,695974,1266,1795,1707,1707,1707
2515,4,522813,1014,2192,1139,1159,2192
2520,5,419166,739,1861,1206,1206,1861
2525,2,1049657,1584,3481,3481,2532,3481
2530,6,350644,719,2632,823,952,1162
2535,5,421570,749,1226,837,837,1226
2540,3,703865,1253,2491,2197,2197,2197
2545,3,705505,1977,2941,2017,2017,2017
2550,4,530309,792,2338,1266,1429,2338
2555,5,425047,734,1228,970,970,1228
2560,7,304302,712,1241,720,740,751
2565,4,533404,1092,1863,1196,1204,1863
2570,4,534586,1080,2558,1088,1258,2558
2575,5,428542,758,2090,1150,1150,2090
2580,3,715821,1321,3061,1691,1691,1691
2585,5,430329,746,1867,930,930,1867
2590,5,431274,803,1405,1119,1119,1405
2595,4,540128,893,1913,1154,1245,1913
2600,3,721791,2143,3183,2719,2719,2719
2605,6,361709,805,1339,860,971,1299
2610,5,434737,744,1085,844,844,1085
2615,5,435574,973,1672,1090,1090,1672
2620,5,436404,837,1969,1107,1107,1969
2625,3,728747,1149,2509,1711,1711,1711
2630,4,547658,774,2047,990,1172,2047
2635,2,1096759,1704,2884,2884,2294,2884
2640,4,549441,1267,2681,1291,1490,2681
2645,5,440401,882,1119,1051,1051,1119
2650,4,551513,808,1893,1064,1076,1893
2655,3,736695,1560,2473,1786,1786,1786
2660,3,738295,1580,3219,1655,1655,1655
2665,5,443869,737,1657,1046,1046,1657
2670,6,370682,694,1164,769,910,1072
2675,5,445801,758,1636,1390,1390,1636
2680,4,557975,716,1414,764,785,1414
2685,5,447352,786,2377,1433,1433,2377
2690,6,373509,741,1213,831,835,1088
2695,2,1121868,1485,2683,2683,2084,2683
2700,5,449671,737,3176,791,791,3176
2705,6,375443,733,1192,778,785,822
2710,4,564292,1100,2127,1211,1246,2127
2715,2,1130575,1986,3983,3983,2984,3983
2720,5,453199,846,2342,1448,1448,2342
2725,3,756279,1086,1675,1166,1166,1166
2730,5,454605,816,3544,1125,1125,3544
2735,3,759221,1339,3217,1421,1421,1421
2740,3,760584,1541,2547,1895,1895,1895
2745,4,571203,867,1323,873,945,1323
2750,5,457677,694,1885,1046,1046,1885
2755,4,573092,906,2163,916,1173,2163
2760,4,574129,1051,1451,1334,1347,1451
2765,3,766627,999,1755,1610,1610,1610
2770,3,768191,1420,3274,3272,3272,3272
2775,2,1154090,1491,3608,3608,2549,3608
2780,3,770647,1777,3322,1983,1983,1983
2785,6,386118,726,1653,734,901,1512
2790,5,464240,724,1638,789,789,1638
2795,4,581164,807,1517,1134,1195,1517
2800,4,582274,1147,1919,1618,1647,1919
2805,5,466615,860,1112,1063,1063,1112
2810,2,1167886,1757,2694,2694,2225,2694
2815,4,584990,1091,2612,1149,1548,2612
2820,5,468940,744,1856,1061,1061,1856
2825,3,782316,808,1441,1093,1093,1093
2830,2,1174662,2374,2981,2981,2677,2981
2835,2,1176137,2882,2951,2951,2916,2951
2840,6,392846,737,2735,1033,1039,1154
2845,5,472394,804,2163,1113,1113,2163
2850,4,591459,802,1580,1053,1267,1580
2855,3,789989,823,3308,1100,1100,1100
2860,5,474873,932,1639,1166,1166,1639
2865,5,475710,848,1275,901,901,1275
2870,4,595595,807,4440,963,1511,4440
2875,5,477291,812,1279,1083,1083,1279
2880,5,478237,805,2027,1075,1075,2027
2885,3,798240,1430,2105,1927,1927,1927
2890,2,1198573,2317,2426,2426,2371,2426
2895,6,400333,758,3298,1066,1073,1160
2900,5,481298,724,1957,848,848,1957
2905,6,401804,725,1131,787,907,1040
2910,5,483154,715,2219,1023,1023,2219
2915,5,483994,888,2829,1112,1112,2829
2920,2,1211436,1116,2899,2899,2007,2899
2925,4,606930,1373,2150,1720,1738,2150
2930,5,486363,775,1211,1030,1030,1211
2935,6,406057,744,1642,809,821,1361
2940,3,813393,1303,2130,1704,1704,1704
2945,3,814974,1486,2463,2281,2281,2281
2950,6,408310,755,1782,832,1038,1284
2955,6,408980,699,1057,720,721,821
2960,6,409726,673,1077,937,961,1023
2965,5,492652,1063,1992,1282,1282,1992
2970,4,616972,747,2084,1870,1941,2084
2975,5,494326,737,1205,814,814,1205
2980,3,825429,1606,2766,1892,1892,1892
2985,5,496197,803,1821,1132,1132,1821
2990,6,414227,688,1327,777,801,873
2995,4,622542,719,2262,1125,1272,2262
3000,2,1245957,1746,1891,1891,1818,1891
3005,4,624000,778,3948,999,1655,3948
3010,6,416738,730,1171,747,908,1137
3015,6,417511,746,1732,1004,1013,1093
3020,4,627357,837,2095,1069,1249,2095
3025,3,837845,1135,2106,2001,2001,2001
3030,6,419689,723,1556,948,1001,1121
3035,4,630310,756,1462,786,836,1462
3040,4,631401,1110,4896,1215,1627,4896
3045,4,632383,746,1932,778,999,1932
3050,5,506656,731,1221,1034,1034,1221
3055,3,845742,1322,2071,1874,1874,1874
3060,3,847024,1922,2230,1923,1923,1923
3065,4,636312,765,2285,1126,1220,2285
3070,6,424997,725,1409,797,964,1301
3075,5,510952,772,1461,1209,1209,1461
3080,5,511894,1013,1489,1126,1126,1489
3085,3,854248,1209,2065,1985,1985,1985
3090,5,513521,1044,1833,1322,1322,1833
3095,2,1285685,1473,3765,3765,2619,3765
3100,6,429289,747,1935,799,889,1049
3105,4,644691,721,1232,1033,1055,1232
3110,5,516700,726,2306,887,887,2306
3115,3,862719,1474,3180,2199,2199,2199
3120,5,518515,726,1788,1018,1018,1788
3125,4,649157,992,1779,1056,1169,1779
3130,6,433556,744,1249,889,983,1231
3135,5,520973,754,2130,905,905,2130
3140,4,652253,911,2103,1135,1586,2103
3145,5,522473,735,1055,888,888,1055
3150,4,654309,1309,2159,1402,1578,2159
3155,4,655394,1172,1966,1201,1493,1966
3160,5,525263,764,1634,1049,1049,1634
3165,4,657577,850,2038,1104,1176,2038
3170,3,878322,2233,2426,2414,2414,2414
3175,4,659701,765,2147,926,1439,2147
3180,6,440482,701,1134,747,763,1124
3185,6,441293,720,1757,798,813,1163
3190,5,530530,806,1492,1150,1150,1492
3195,3,884967,861,1387,865,865,865
3200,5,531877,781,2735,1167,1167,2735
3205,5,532836,742,1728,914,914,1728
3210,3,889373,1237,3134,2701,2701,2701
3215,6,445466,765,2252,912,974,1185
3220,4,668929,717,1121,987,1032,1121
3225,3,893251,1900,2858,2136,2136,2136
