time(sec), throughput(txs), avg_latency(MicroSecond), min(MicroSecond), max(MicroSecond), 25th_lat(MicroSecond), median_lat(MicroSecond), 75th_lat(MicroSecond)
570,5,93847,697,1731,1040,1040,1731
575,5,94544,787,1040,885,885,1040
580,2,238226,1726,3733,3733,2729,3733
585,4,120010,1111,1690,1212,1238,1690
590,4,121099,1243,1742,1363,1367,1742
595,2,243259,1457,2120,2120,1788,2120
600,4,122810,1245,2909,1482,1739,2909
605,5,99221,879,2261,1484,1484,2261
610,3,166856,1440,3969,3023,3023,3023
615,3,168381,1768,2808,2259,2259,2259
620,5,101943,825,2029,881,881,2029
625,6,85734,735,1234,882,992,1139
630,2,259046,1028,3687,3687,2357,3687
635,5,104484,853,5499,1159,1159,5499
640,5,105317,863,1351,1085,1085,1351
645,3,176598,1067,2039,1171,1171,1171
650,5,106845,690,3457,1136,1136,3457
655,4,134484,855,1694,1097,1131,1694
660,2,270252,1733,2566,2566,2149,2566
665,3,181512,1448,2934,2584,2584,2584
670,4,137280,1361,2360,1587,1612,2360
675,5,110672,798,1689,811,811,1689
680,6,93006,719,1130,751,879,1056
685,5,112462,725,1232,1131,1131,1232
690,2,283233,1922,4155,4155,3038,4155
695,6,95184,724,1402,753,889,1057
700,4,143859,1046,1710,1232,1403,1710
705,3,193335,2213,2665,2356,2356,2356
710,5,116858,709,1657,893,893,1657
715,3,195649,1035,1456,1199,1199,1199
720,2,294638,2328,3765,3765,3046,3765
725,4,148444,1125,2627,1255,1688,2627
730,4,149485,758,2202,786,980,2202
735,7,86118,740,1034,758,805,810
740,5,121365,743,1266,942,942,1266
745,3,203884,950,3879,1231,1231,1231
750,4,153857,1076,1755,1150,1349,1755
755,5,123934,698,2499,1073,1073,2499
760,3,207392,890,1616,892,892,892
765,4,156652,828,2508,1562,1801,2508
770,5,126167,781,1929,1055,1055,1929
775,3,211437,1015,2114,1361,1361,1361
780,2,319421,2090,4529,4529,3309,4529
785,6,107276,766,1895,893,1013,1163
790,6,107955,685,1043,768,776,827
795,5,130456,1016,2330,1112,1112,2330
800,3,218608,720,2464,1077,1077,1077
805,4,165084,800,1986,1759,1857,1986
810,6,110845,702,1215,811,834,1146
815,6,111617,769,1732,774,936,1220
820,3,224855,1883,2980,2196,2196,2196
825,5,135743,756,1625,896,896,1625
830,4,170409,773,1302,802,823,1302
835,2,341864,2090,2365,2365,2227,2365
840,3,229302,2016,2940,2164,2164,2164
845,4,173078,1101,1795,1231,1305,1795
850,7,99600,747,1111,764,806,808
855,6,116947,704,1902,766,950,1170
860,3,234791,1047,1600,1090,1090,1090
865,5,141802,715,3272,1116,1116,3272
870,5,142706,741,1713,1023,1023,1713
875,4,179460,737,1985,1055,1163,1985
880,4,180598,738,3187,1498,1906,3187
885,6,121175,717,1023,921,950,1020
890,2,364624,1945,2195,2195,2070,2195
895,2,366357,2756,3466,3466,3111,3466
900,4,184222,1095,2344,1346,1540,2344
905,6,123526,747,1147,764,836,1088
910,5,149150,738,1829,1029,1029,1829
915,4,187425,1076,1439,1241,1337,1439
920,3,250922,1340,1818,1726,1726,1726
925,6,126211,699,1977,846,960,1075
930,6,126945,738,1135,768,896,1024
935,3,255379,1811,2410,2053,2053,2053
940,5,153967,733,1283,1021,1021,1283
945,4,193166,698,1313,1015,1064,1313
950,3,258494,1385,3409,1433,1433,1433
955,4,194895,762,3337,1295,1669,3337
960,7,112018,681,886,760,770,800
965,5,157742,690,1824,1014,1014,1824
970,5,158499,732,1029,1002,1002,1029
975,3,265017,1155,1686,1403,1403,1403
980,4,199759,1088,2452,1249,1449,2452
985,4,200813,915,2022,1279,1296,2022
990,4,201761,1208,1336,1246,1259,1336
995,2,405387,1213,3730,3730,2471,3730
1000,6,135833,715,2099,717,864,1064
1005,4,204717,906,1845,1058,1088,1845
1010,3,274461,1599,2471,2046,2046,2046
1015,5,165461,711,3512,1039,1039,3512
1020,4,207923,1096,2152,1141,1154,2152
1025,6,139325,727,1026,769,888,1015
1030,5,168080,700,1632,1052,1052,1632
1035,4,211251,1137,2128,1206,1237,2128
1040,5,169978,767,2096,1118,1118,2096
1045,6,142302,692,1027,722,730,740
1050,4,214309,745,1405,1124,1198,1405
1055,4,215404,1261,2307,1360,1561,2307
1060,6,144296,752,1055,763,798,1052
1065,3,289872,816,2297,1544,1544,1544
1070,2,435632,1647,1654,1654,1650,1654
1075,4,218767,722,4859,1119,1541,4859
1080,6,146557,699,1173,812,913,1027
1085,6,147234,701,1794,740,795,1038
1090,5,177436,773,1081,993,993,1081
1095,3,296996,1607,2384,2197,2197,2197
1100,4,223540,829,1751,1084,1173,1751
1105,6,149833,738,2149,1055,1088,1154
1110,3,300965,969,2628,1269,1269,1269
1115,4,226874,1047,1857,1581,1640,1857
1120,5,182419,807,1626,1026,1026,1626
1125,3,305309,1415,2419,2254,2254,2254
1130,4,230037,925,3247,1610,1647,3247
1135,5,184989,905,1750,1076,1076,1750
1140,5,185967,686,1697,1063,1063,1697
1145,6,155674,715,1042,728,755,1000
1150,5,187759,707,1780,783,783,1780
1155,3,314218,1400,2457,2145,2145,2145
1160,4,236646,1148,1947,1233,1392,1947
1165,3,316280,1023,1227,1026,1026,1026
1170,5,190615,699,3987,1001,1001,3987
1175,6,159588,702,1597,719,719,1078
1180,3,320339,948,2239,1247,1247,1247
1185,3,321732,1576,2587,1591,1591,1591
1190,5,194010,720,1789,1609,1609,1789
1195,6,162483,730,1235,1070,1077,1103
1200,6,163271,683,1750,945,958,1435
1205,5,196648,718,1258,813,813,1258
1210,3,329173,1176,3100,2486,2486,2486
1215,6,165342,718,1048,782,885,1008
1220,4,248859,801,1688,898,1064,1688
1225,3,333176,1671,2265,1825,1825,1825
1230,5,200682,706,1611,990,990,1611
1235,5,201458,815,1676,1019,1019,1676
1240,3,337191,1363,2233,2052,2052,2052
1245,2,507608,1377,3641,3641,2509,3641
1250,5,203869,822,3107,1111,1111,3107
1255,5,204712,819,1347,1157,1157,1347
1260,6,171324,743,2430,834,872,1083
1265,4,257736,772,1342,887,986,1342
1270,4,258582,798,2600,1084,1292,2600
1275,5,207742,999,1702,1094,1094,1702
1280,5,208713,737,2267,1053,1053,2267
1285,5,209689,726,2625,1272,1272,2625
1290,4,262838,766,1038,854,933,1038
1295,3,351912,1664,3101,2721,2721,2721
1300,4,265131,1163,2728,1267,1812,2728
1305,6,177552,783,1803,864,949,1307
1310,5,214021,898,1773,1074,1074,1773
1315,6,179069,679,1062,773,778,1046
1320,3,359147,1045,1720,1305,1305,1305
1325,5,216356,997,3416,1115,1115,3416
1330,5,217291,767,1766,1071,1071,1766
1335,4,272811,709,2201,1036,1292,2201
1340,3,365027,1128,2711,2144,2144,2144
1345,6,183170,753,1284,788,794,830
1350,3,367545,1188,2361,1251,1251,1251
1355,2,553200,1336,3765,3765,2550,3765
1360,6,185185,743,2375,864,892,1399
1365,6,185904,766,1144,810,862,1028
1370,5,223964,730,1688,1012,1012,1688
1375,6,187372,690,1142,789,790,1009
1380,2,563773,1521,3315,3315,2418,3315
1385,6,188709,707,1829,1004,1040,1149
1390,6,189502,713,1691,989,1040,1103
1395,3,380546,1528,3098,1691,1691,1691
1400,6,190991,712,2682,777,899,1068
1405,5,230049,691,1691,833,833,1691
1410,3,384876,1629,2541,1841,1841,1841
1415,6,193155,695,3787,785,846,1200
1420,5,232698,744,1706,1046,1046,1706
1425,6,194726,731,1061,1007,1016,1043
1430,5,234575,729,1728,786,786,1728
1435,4,294303,824,2088,1643,1755,2088
1440,5,236142,724,1117,826,826,1117
1445,4,296353,1270,2964,1592,1716,2964
1450,4,297398,943,2568,1114,1620,2568
1455,6,198978,739,1840,806,838,1078
1460,3,399440,892,2344,2105,2105,2105
1465,3,400934,1464,2808,1676,1676,1676
1470,6,201258,734,3051,812,965,1301
1475,5,242465,754,2138,998,998,2138
1480,6,202799,701,1098,1000,1007,1032
1485,4,304998,676,1825,697,839,1825
1490,5,244979,726,2336,1232,1232,2336
1495,5,245823,735,1230,1057,1057,1230
1500,5,246496,697,1911,774,774,1911
1505,3,412234,1899,2604,2323,2323,2323
1510,5,248042,718,1044,806,806,1044
1515,4,311177,1009,2373,1114,1439,2373
1520,3,416445,1396,3230,1416,1416,1416
1525,5,250783,785,2511,1267,1267,2511
1530,5,251603,764,1305,934,934,1305
1535,6,210384,695,1523,811,917,1049
1540,4,316478,734,1763,823,965,1763
1545,3,422810,802,1716,1366,1366,1366
1550,4,318143,1054,2397,1356,1543,2397
1555,6,212859,736,1102,893,950,1052
1560,4,320105,780,1335,784,963,1335
1565,3,428111,1164,2980,2749,2749,2749
1570,6,214748,687,1053,723,871,1022
1575,3,430399,954,1370,1340,1340,1340
1580,3,431945,1979,3687,2660,2660,2660
1585,5,260051,721,1799,1056,1056,1799
1590,6,217411,704,1026,766,871,998
1595,5,261751,749,1666,1032,1032,1666
1600,5,262528,716,1172,1034,1034,1172
1605,3,438745,1254,2116,1480,1480,1480
1610,5,264124,1021,2965,1144,1144,2965
1615,5,265097,830,1820,1059,1059,1820
1620,3,443237,1919,2141,2086,2086,2086
1625,5,266654,720,1151,1019,1019,1151
1630,5,267356,691,1657,737,737,1657
1635,3,446940,1492,2491,1549,1549,1549
1640,3,448434,1951,2300,2182,2182,2182
1645,5,269925,813,1810,861,861,1810
1650,6,225672,731,1060,810,921,1041
1655,4,339650,1010,2266,1111,1201,2266
1660,5,272391,716,1046,756,756,1046
1665,2,682461,1681,2967,2967,2324,2967
1670,4,342175,883,2107,1186,1447,2107
1675,5,274715,802,1667,1297,1297,1667
1680,3,459111,1217,2298,1461,1461,1461
1685,6,230340,685,2201,1036,1065,1188
1690,5,277302,661,2104,714,714,2104
1695,3,463579,1721,2758,2505,2505,2505
1700,3,464930,1871,3068,2180,2180,2180
1705,5,279857,845,1273,1112,1112,1273
1710,5,280757,697,1712,994,994,1712
1715,5,281743,695,1706,1058,1058,1706
1720,3,470544,1215,1509,1404,1404,1404
1725,5,283175,759,2260,1092,1092,2260
1730,5,284000,677,1655,991,991,1655
1735,4,355735,693,1434,813,858,1434
1740,4,356908,944,2683,1746,1873,2683
1745,7,204621,711,1740,728,746,788
1750,3,478649,1388,2213,1620,1620,1620
1755,2,719204,1793,2459,2459,2126,2459
1760,4,360817,865,3240,1759,1998,3240
1765,5,289428,732,1337,1015,1015,1337
1770,6,241949,707,1667,951,984,1166
1775,5,291317,722,1817,1135,1135,1817
1780,3,486888,1471,2122,1954,1954,1954
1785,5,293020,813,1729,1073,1073,1729
1790,5,293730,754,1028,831,831,1028
1795,3,490984,1493,2197,2107,2107,2107
1800,5,295502,695,1790,1347,1347,1790
1805,5,296355,706,1286,1019,1019,1286
1810,4,371655,1224,2185,1433,1646,2185
1815,4,372737,844,2536,1175,1743,2536
1820,6,249259,755,1308,821,968,1126
1825,5,300069,706,2026,1014,1014,2026
1830,5,301013,994,1557,1051,1051,1557
1835,3,502910,966,2072,1594,1594,1594
1840,6,252212,750,1642,881,947,1024
1845,4,379507,1169,2294,1289,1327,2294
1850,4,380282,730,1239,766,949,1239
1855,4,381307,1135,2795,1265,1482,2795
1860,5,305961,688,2121,1044,1044,2121
1865,4,383400,788,1978,844,908,1978
1870,3,512267,1329,1871,1623,1623,1623
1875,5,308305,787,2898,1324,1324,2898
1880,6,257634,689,2408,780,858,1146
1885,6,258418,679,1120,753,887,1057
1890,3,517947,891,2442,908,908,908
1895,3,519334,1731,2431,1784,1784,1784
1900,4,390481,979,1918,1025,1194,1918
1905,6,261130,720,1588,776,911,1221
1910,3,523671,1307,2664,1571,1571,1571
1915,4,393740,780,2080,1088,1139,2080
1920,6,263097,683,1023,717,725,786
1925,4,395871,1371,1955,1444,1471,1955
1930,3,529363,1666,2505,2101,2101,2101
1935,5,318485,710,2278,784,784,2278
1940,6,266148,731,1084,767,808,1020
1945,5,320355,788,2105,1001,1001,2105
1950,4,401260,782,1600,790,831,1600
1955,3,536161,1447,2271,1998,1998,1998
1960,6,268899,705,1774,1077,1108,1213
1965,4,404462,731,2630,895,994,2630
1970,5,324544,912,3134,1074,1074,3134
1975,5,325325,735,1407,1001,1001,1407
1980,3,543172,911,1982,1297,1297,1297
1985,3,544516,1884,2176,2147,2147,2147
1990,3,545864,1368,2613,1432,1432,1432
1995,7,234631,676,1236,706,736,817
2000,5,329359,727,1799,1037,1037,1799
2005,7,235939,691,990,706,721,721
2010,3,552070,1081,3412,1219,1219,1219
2015,5,332035,782,1744,1035,1035,1744
2020,6,277511,790,1247,856,975,1188
2025,3,556618,1231,3501,1285,1285,1285
2030,5,334941,1014,1669,1100,1100,1669
2035,5,335648,669,1123,715,715,1123
2040,4,420747,1459,2076,1467,1645,2076
2045,3,562313,1706,3158,2244,2244,2244
2050,6,281876,728,1284,773,783,1034
2055,5,339227,825,1776,1076,1076,1776
2060,6,283409,729,1072,850,918,1022
2065,3,567805,929,1643,1315,1315,1315
2070,3,569120,1886,2149,2060,2060,2060
2075,5,342374,753,1482,1171,1171,1482
2080,4,429074,750,1897,1108,1442,1897
2085,3,573513,1423,3107,2820,2820,2820
2090,6,287477,743,1265,757,838,1154
2095,2,864206,1270,3548,3548,2409,3548
2100,3,577357,1321,2338,1634,1634,1634
2105,5,347276,888,2349,1061,1061,2349
2110,5,348217,724,1797,1038,1038,1797
2115,6,290944,715,1255,763,768,1071
2120,5,350095,833,1726,1105,1105,1726
2125,3,584786,1295,2139,1744,1744,1744
2130,5,351762,967,2381,1126,1126,2381
2135,6,293918,696,1472,732,794,962
2140,2,883603,1201,3698,3698,2449,3698
2145,6,295276,721,1715,873,957,1063
2150,5,355100,714,1129,906,906,1129
2155,3,593424,1272,3496,1436,1436,1436
2160,4,446269,1189,2738,1782,1808,2738
2165,5,357977,779,1693,1156,1156,1693
2170,6,299088,720,1143,996,1004,1031
2175,7,257020,660,1614,703,733,812
2180,4,450984,790,2149,1048,1325,2149
2185,5,361661,735,1887,1324,1324,1887
2190,6,302099,718,1100,834,835,900
2195,4,454219,712,2264,874,1008,2264
2200,5,364193,710,2165,1296,1296,2165
2205,5,364875,696,1029,989,989,1029
2210,4,457263,1259,2038,1377,1623,2038
2215,2,915780,1302,2509,2509,1905,2509
2220,5,367291,1070,2460,1160,1160,2460
2225,6,306781,747,1795,832,841,1030
2230,6,307510,679,1179,740,904,1069
2235,4,462283,688,2302,778,929,2302
2240,3,617615,1239,2254,1459,1459,1459
2245,5,371472,712,2108,1072,1072,2108
2250,4,464950,680,1051,717,878,1051
2255,3,621151,1128,3090,2525,2525,2525
2260,4,466997,795,2222,1518,1616,2222
2265,5,374330,686,1241,1015,1015,1241
2270,3,625281,1566,2362,1831,1831,1831
2275,3,626680,2094,2892,2104,2104,2104
2280,6,314133,744,1549,871,998,1244
2285,4,472242,776,2264,1098,1112,2264
2290,6,315611,726,1152,885,888,1047
2295,4,474178,736,1179,1072,1101,1179
2300,4,475260,835,2367,1126,1660,2367
2305,6,317547,692,1220,788,801,1137
2310,5,381747,718,1132,783,783,1132
2315,2,956298,2012,3862,3862,2937,3862
2320,6,319540,702,1655,736,927,1357
2325,6,320357,691,1442,705,744,1281
2330,3,641802,1461,2054,1805,1805,1805
2335,4,482566,1218,2338,1368,1819,2338
2340,6,322433,718,1284,745,771,805
2345,5,387675,714,1041,946,946,1041
2350,6,323856,752,1606,1003,1016,1115
2355,4,486880,900,1794,1232,1460,1794
2360,5,390332,733,2691,1096,1096,2691
2365,4,488874,908,1740,1082,1135,1740
2370,3,653329,1144,2479,2013,2013,2013
2375,5,392856,723,2100,1060,1060,2100
2380,5,393760,742,1574,1060,1060,1574
2385,4,493318,796,1963,948,1331,1963
2390,2,987952,1410,2630,2630,2020,2630
2395,4,495100,900,2546,1162,1798,2546
2400,6,330802,640,1264,991,996,1017
2405,5,397746,676,1502,730,730,1502
2410,6,332154,682,1107,736,874,1051
2415,3,665787,982,2630,1808,1808,1808
2420,5,400406,730,1971,1253,1253,1971
2425,4,501447,728,1836,919,961,1836
2430,3,669657,1312,1869,1395,1395,1395
2435,5,402630,709,2054,1107,1107,2054
2440,6,336313,693,2039,991,997,1270
2445,3,673865,1015,2222,1494,1494,1494
2450,2,1012855,2029,4114,4114,3071,4114
2455,5,406117,737,1985,1204,1204,1985
2460,4,508617,1022,1794,1070,1091,1794
2465,5,407601,709,1123,990,990,1123
2470,6,340449,753,1769,807,934,1293
2475,4,511862,1203,1825,1663,1693,1825
2480,6,341986,712,1192,728,922,1128
2485,4,513797,705,2073,983,1282,2073
2490,4,514882,1383,3310,1466,1479,3310
2495,5,412861,801,1644,1046,1046,1644
2500,4,517220,767,2528,876,1023,2528
2505,3,691024,1707,2487,1957,1957,1957
2510,4,519238,978,1750,1198,1451,1750
2515,6,346871,709,1250,750,895,1042
2520,5,417224,698,1797,1067,1067,1797
2525,5,417974,722,1026,980,980,1026
2530,3,697800,1085,2442,2252,2252,2252
2535,6,349622,662,1573,787,889,1157
2540,5,420386,732,1633,1019,1019,1633
2545,3,701890,1212,2115,1623,1623,1623
2550,4,527576,1181,2379,1654,1726,2379
2555,5,422853,688,1191,995,995,1191
2560,2,1058928,1408,3587,3587,2497,3587
2565,2,1060596,1910,3336,3336,2623,3336
2570,5,425136,906,1759,1073,1073,1759
2575,5,425943,672,1468,1179,1179,1468
2580,5,426852,730,1661,1095,1095,1661
2585,6,356407,741,1089,783,788,982
2590,3,714265,2013,2336,2265,2265,2265
2595,5,429316,766,1302,1073,1073,1302
2600,5,430167,705,1955,829,829,1955
2605,4,538874,1244,1999,1419,1472,1999
2610,5,432075,1069,1641,1112,1112,1641
2615,5,432854,769,1179,1004,1004,1179
2620,4,542271,1234,2006,1309,1440,2006
2625,2,1085596,2107,2762,2762,2434,2762
2630,6,362666,740,2946,992,1031,1162
2635,5,435844,672,1025,750,750,1025
2640,5,436680,887,1900,1045,1045,1900
2645,3,728326,738,1185,842,842,842
2650,5,437844,787,3544,1026,1026,3544
2655,5,438659,781,1415,824,824,1415
2660,5,439393,720,1229,1063,1063,1229
2665,2,1100940,1731,4914,4914,3322,4914
2670,5,441243,955,1503,1017,1017,1503
2675,4,552511,798,1399,1110,1213,1399
2680,2,1106149,2111,2254,2254,2182,2254
2685,4,554185,953,4512,1394,1744,4512
2690,5,444105,731,1136,884,884,1136
2695,5,444936,774,2118,1109,1109,2118
2700,5,445770,791,1300,1016,1016,1300
2705,3,743953,785,1824,1184,1184,1184
2710,3,745062,1152,2453,2175,2175,2175
2715,5,447880,755,2096,1130,1130,2096
2720,4,560963,753,1678,1304,1386,1678
2725,5,449616,736,3897,1077,1077,3897
2730,5,450572,986,1662,1018,1018,1662
2735,3,752330,1381,2104,2025,2025,2025
2740,3,753935,1274,3541,2115,2115,2115
2745,5,453247,786,1656,1073,1073,1656
2750,5,454223,1029,1701,1092,1092,1701
2755,6,379253,724,1138,773,807,892
2760,5,455928,838,1186,1061,1061,1186
2765,3,761316,1065,3239,2893,2893,2893
2770,6,381344,703,1072,768,841,968
2775,4,572931,778,1593,878,1082,1593
2780,4,574006,890,3371,1319,1705,3371
2785,6,383332,722,1009,736,752,773
2790,4,576202,900,2439,990,1234,2439
2795,2,1153505,1388,2201,2201,1794,2201
2800,4,577878,1080,3231,1507,1711,3231
2805,6,386027,749,1054,879,898,1050
2810,6,386718,710,1117,782,791,827
2815,6,387426,704,1724,778,792,1215
2820,4,582242,1108,2086,1125,1172,2086
2825,4,583292,1017,2102,1078,1466,2102
2830,5,467414,703,1126,1031,1031,1126
2835,4,585477,1358,2110,1370,1538,2110
2840,4,586634,1342,1829,1598,1642,1829
2845,6,391798,710,1150,792,893,1015
2850,3,784877,1211,2094,1745,1745,1745
2855,2,1178464,1294,2296,2296,1795,2296
2860,5,472218,829,3000,1131,1131,3000
2865,4,591242,997,1723,1155,1258,1723
2870,6,394934,766,1183,874,962,1091
2875,5,474838,722,1763,1031,1031,1763
2880,3,792736,1474,2200,1817,1817,1817
2885,5,476527,735,1765,1023,1023,1765
2890,5,477247,800,1087,955,955,1087
2895,3,796829,1162,3087,1405,1405,1405
2900,7,342198,653,2951,779,807,819
2905,4,600041,1048,2613,1078,1083,2613
2910,3,801519,1396,2644,1747,1747,1747
2915,3,802952,1499,2799,2045,2045,2045
2920,4,603290,857,1661,1303,1322,1661
2925,6,402864,713,1063,747,783,1026
2930,5,484402,985,1661,1041,1041,1661
2935,5,485254,707,1624,1018,1018,1624
2940,4,607704,1346,2792,1422,1598,2792
2945,6,405851,689,1006,784,790,1004
2950,2,1218414,1049,1720,1720,1384,1720
2955,5,488316,768,3536,1233,1233,3536
2960,6,407622,678,995,717,733,985
2965,4,612645,906,2531,1411,1743,2531
2970,3,818307,1428,2914,1810,1810,1810
2975,4,614793,739,2798,1049,1756,2798
2980,6,410663,715,1140,816,937,1070
2985,4,617044,754,1925,1132,1137,1925
2990,4,617928,753,1405,1001,1189,1405
2995,4,619052,900,3075,1149,1798,3075
3000,5,496058,772,1346,954,954,1346
3005,4,621250,1352,2098,1615,1680,2098
3010,6,414955,741,2504,914,965,1314
3015,6,415683,728,1124,863,884,1115
3020,3,833013,777,2613,2325,2325,2325
3025,3,834620,1962,2574,2248,2248,2248
3030,5,501490,795,1963,951,951,1963
3035,6,418628,684,1656,712,892,1135
3040,5,503244,711,1559,1028,1028,1559
3045,5,504025,681,1272,952,952,1272
3050,3,841384,1255,2126,1901,1901,1901
3055,6,421327,671,1795,784,787,857
3060,5,506304,673,1188,925,925,1188
